id,cd_estab,nm_ab_cliente,nr_nota_fis,nr_pedido,ds_ord_compra,ds_placa,ds_transp,nr_lacre,dt_hr_chegada,dt_hr_ini_carga,dt_hr_fim_carga,ds_obs_carga,id_no_show,vl_fixo,vl_base_multa,vl_multa,dt_hr_liberacao,usr_atlz_id,ds_get_status_lib,ds_status_cheg,dt_atlz
293,JAG,JCBOB,20591,901656,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
295,JAG,CDJAC,20603,900079,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
297,JAG,SBWAY,20612,900060,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
299,JAG,SBWAY,20613,900062,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
305,JAG,JCBOB,20608,901657,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
309,JAG,JDITA,20609,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
310,JAG,JDITA,20610,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
313,JAG,JDSTP,20611,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
317,JAG,FFJDI,20604,299790,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
320,JAG,FFJDI,20605,299791,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
321,JAG,FFJDI,20606,299792,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
324,JAG,FFJDI,20607,299789,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
326,JAG,SBWAY,20625,900064,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
328,JAG,SBWAY,20626,900065,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
330,JAG,SBWNE,20627,887043,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
336,JAG,JCBOB,20624,901658,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
338,JAG,FFJDI,20622,299796,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
340,JAG,FFJDI,20621,299793,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
341,JAG,FFJDI,20620,299795,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
344,JAG,FFJDI,20623,299794,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
346,JAG,CDJAC,20655,900080,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
348,JAG,SBWRB,20665,900094,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
349,JAG,FFJDI,20666,299788,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
354,JAG,FFJDI,20656,299797,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
355,JAG,FFJDI,20657,299802,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
358,JAG,FFJDI,20658,299803,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
363,JAG,FFJDI,20659,299801,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
368,JAG,CCONF,20654,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
369,JAG,JDITA,20661,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
370,JAG,JDITA,20662,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
372,JAG,JDITA,20660,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
373,JAG,JDSTP,20664,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
376,JAG,JDSTP,20663,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
378,JAG,SBWNE,20678,900096,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
384,JAG,FFJDI,20675,299804,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
389,JAG,FFJDI,20676,299805,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
393,JAG,FFJDI,20677,299921,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
397,JAG,FFJDI,20679,299785,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
403,JAG,WALBA,20669,000002290189,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
409,JAG,WALPE,20668,000002314142,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
411,JAG,CDJAC,20684,902767,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
414,JAG,CR054,20685,907150,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
416,JAG,SBWAY,20689,902761,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
421,JAG,FFJDI,20690,299932,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
423,JAG,FFJDI,20686,299933,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
425,JAG,FFJDI,20687,299934,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
430,JAG,FFJDI,20688,299929,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
437,JAG,WALRS,20694,000408899853,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
444,JAG,WALPR,20695,000408899855,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
446,JAG,CDJAC,20697,902768,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
451,JAG,CR056,20698,907266,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
454,JAG,JCBOB,20699,907267,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
457,JAG,JCBOB,20700,907268,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
465,JAG,WMART,20701,007350046720,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
470,JAG,FFJDI,20702,299935,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
