id,cd_estab,nm_ab_cliente,nr_nota_fis,dt_saida,hr_grade,cd_produto,un_embalagem,qt_embalagem,qt_pilha,qt_carregada,qt_falta,id_motivo,qt_pallet,vl_base_multa,vl_multa,usr_atlz_id,base_id,dt_atlz
154,JAG,PREZUNIC,20479,,14:00,503500148,CX,4,0/4,0,0,,0,0,0,1,154,2016-10-30 16:04:30
155,JAG,CDJAC,20520,,19:00,563700001,CX,6,0/6,0,0,,0,0,0,1,156,2016-10-30 16:04:30
156,JAG,CDJAC,20520,,19:00,563700002,CX,20,0/20,0,0,,0,0,0,1,156,2016-10-30 16:04:30
157,JAG,SBWRB,20526,,21:00,563700001,CX,8,0/8,0,0,,0,0,0,1,158,2016-10-30 16:04:30
158,JAG,SBWRB,20526,,21:00,563700002,CX,18,0/18,0,0,,0,0,0,1,158,2016-10-30 16:04:30
159,JAG,JCBOB,20525,,1:00,503500073,CX,21,0/21,0,0,,0,0,0,1,161,2016-10-30 16:04:30
160,JAG,JCBOB,20525,,1:00,503500077,CX,119,0/119,0,0,,0,0,0,1,161,2016-10-30 16:04:30
161,JAG,JCBOB,20525,,1:00,503500071,CX,8,0/8,0,0,,0,0,0,1,161,2016-10-30 16:04:30
162,JAG,BCDRB,20538,,3:00,503500073,CX,14,0/14,0,0,,0,0,0,1,165,2016-10-30 16:04:30
163,JAG,BCDRB,20538,,3:00,503500077,CX,85,0/85,0,0,,0,0,0,1,165,2016-10-30 16:04:30
164,JAG,BCDRB,20538,,3:00,503500071,CX,5,30/5,0,0,,0,0,0,1,165,2016-10-30 16:04:30
165,JAG,BCDRB,20538,,3:00,503500107,CX,8,0/8,0,0,,0,0,0,1,165,2016-10-30 16:04:30
166,JAG,FFJDI,20521,,11:00,503500063,CX,20,0/20,0,0,,0,0,0,1,170,2016-10-30 16:04:30
167,JAG,FFJDI,20521,,11:00,503500065,CX,20,0/20,0,0,,0,0,0,1,170,2016-10-30 16:04:30
168,JAG,FFJDI,20521,,11:00,503500066,CX,16,0/16,0,0,,0,0,0,1,170,2016-10-30 16:04:30
169,JAG,FFJDI,20521,,11:00,503500028,CX,28,0/28,0,0,,0,0,0,1,170,2016-10-30 16:04:30
170,JAG,FFJDI,20521,,11:00,503500023,CX,20,0/20,0,0,,0,0,0,1,170,2016-10-30 16:04:30
171,JAG,FFJDI,20522,,22:00,503500063,CX,104,0/104,0,0,,0,0,0,1,171,2016-10-30 16:04:30
